year,Global,Cairo,Alexandria,global_mvgavg,cairo_mvgavg,alex_mvgavg,Correlation,,
1808,7.63,17.11,19.69,7.203,20.047,19.248,Cairo / Global,0.582669702,
1809,7.08,19.87,19.03,7.223,19.496,19.269,Alexandria / Global,0.828689249,
1810,6.92,19.93,19.12,7.252,19.54,19.31,Cairo / Alexandria,0.669137868,
1811,6.86,20,19.19,7.322,19.605,19.371,,,
1812,7.05,19.93,19.02,7.445,19.668,19.421,Cairo / Global (mvgavg),0.946356949,
1813,7.74,20.51,19.55,7.559,19.747,19.499,Alexandria / Global (mvgavg),0.963163609,
1814,7.59,20.43,19.5,7.557,19.767,19.526,Cairo / Alexandria (mvgavg),0.968098799,
1815,7.24,20.3,19.39,7.653,19.868,19.628,,,
1816,6.94,20.51,18.91,7.768,19.938,19.692,Global Min / Max,7.203,9.585
1817,6.98,21.88,19.08,7.91,19.981,19.797,Cairo Min / Max,19.496,22.775
1818,7.83,11.6,19.9,8.093,19.956,19.959,Alexandria Min / Max,19.248,21.67333333
1819,7.37,20.31,19.44,8.127,20.895,19.977,,,
1820,7.62,20.58,19.73,8.184,20.955,20.031,,,
1821,8.09,20.63,19.69,8.274,21.022,20.09,,,
1822,8.19,20.72,19.8,8.229,21.011,20.082,,,
1823,7.72,20.71,19.82,8.155,20.959,20.025,,,
1824,8.55,21.44,20.52,8.184,20.969,20.032,,,
1825,8.39,21,20.03,8.144,20.894,19.954,,,
1826,8.36,20.94,19.96,8.044,20.811,19.874,,,
1827,8.81,21.63,20.7,7.978,20.776,19.845,,,
1828,8.17,20.99,20.08,7.835,20.64,19.704,,,
1829,7.94,20.91,19.98,7.769,20.562,19.626,,,
1830,8.52,21.25,20.32,7.738,20.514,19.58,,,
1831,7.64,20.52,19.61,7.666,20.445,19.513,,,
1832,7.45,20.2,19.23,7.671,20.484,19.56,,,
1833,8.01,20.81,19.89,7.728,20.556,19.629,,,
1834,8.15,20.69,19.74,7.744,20.558,19.631,,,
1835,7.39,20.17,19.23,7.694,20.555,19.634,,,
1836,7.7,20.59,19.67,7.74,20.628,19.716,,,
1837,7.38,20.27,19.29,7.825,20.726,19.816,,,
1838,7.51,20.21,19.3,7.896,20.809,19.904,,,
1839,7.63,20.43,19.52,7.943,20.877,19.974,,,
1840,7.8,20.56,19.65,7.978,20.924,20.022,,,
1841,7.69,20.91,20.08,7.988,20.907,20.002,,,
1842,8.02,20.92,19.92,8.037,20.927,20.015,,,
1843,8.17,20.83,19.91,8.045,20.939,20.036,,,
1844,7.65,20.66,19.77,8.032,21.009,20.12,,,
1845,7.85,20.9,20.05,8.088,21.017,20.118,,,
1846,8.55,21.57,20.67,8.114,21.031,20.131,,,
1847,8.09,21.1,20.17,8.059,20.923,20.025,,,
1848,7.98,20.89,20,8.026,20.842,19.941,,,
1849,7.98,20.9,20,8.038,20.843,19.929,,,
1850,7.9,20.39,19.45,8.065,20.851,19.933,,,
1851,8.18,21.11,20.21,8.071,20.945,20.037,,,
1852,8.1,21.04,20.13,8.038,20.855,19.955,,,
1853,8.04,21.53,20.75,7.984,20.773,19.885,,,
1854,8.21,20.74,19.75,7.991,20.68,19.79,,,
1855,8.11,21.04,20.18,7.968,20.731,19.844,,,
1856,8,20.49,19.61,7.975,20.782,19.885,,,
1857,7.76,20.29,19.33,8.004,20.868,19.967,,,
1858,8.1,20.9,19.88,8.072,20.984,20.075,,,
1859,8.25,20.98,20.04,8.087,20.988,20.09,,,
1860,7.96,21.33,20.49,8.105,21.031,20.141,,,
1861,7.85,20.21,19.39,8.129,21.028,20.136,,,
1862,7.56,20.22,19.43,8.156,21.094,20.202,,,
1863,8.11,20.6,19.8,8.219,21.186,20.296,,,
1864,7.98,21.25,20.29,8.243,21.266,20.372,,,
1865,8.18,21.55,20.59,8.288,21.218,20.324,,,
1866,8.29,21.35,20.43,8.256,21.062,20.178,,,
